nr	Artikelid	Varnummer	Namn	Namn2	Prisinklmoms	Pant	Volymiml	PrisPerLiter	Saljstart	Utgått	Varugrupp	Typ	Stil	Forpackning	Forslutning	Ursprung	Ursprunglandnamn	Producent	Leverantor	Argang	Provadargang	Alkoholhalt	Sortiment	SortimentText	Ekologisk	Etiskt	EtisktEtikett	Koscher	RavarorBeskrivning
101	1	1	Renat		225.00		700.00	292.86	1993-10-01	0	Vodka och Brännvin	Vodka		Flaska			Sverige	Pernod Ricard	Pernod Ricard Sweden AB			37.50%	FS	Fast sortiment	0	0		0	Säd.
7548901	1000008	75489	Arpepe	Valtellina Superiore Stella Retica	381.00		750.00	508.00	2015-09-01	0	Rött vin			Flaska		Lombardiet	Italien	Arpepe	Vinoliv Import AB	2015		13.50%	BS	Ordervaror	0	0		0	
7521801	1000131	75218	Purcari	Freedom Blend	128.00		750.00	264.00	2015-09-01	0	Rött vin			Flaska			Moldavien	Purcari	High Coast Wine AB	2015		13.50%	BS	Ordervaror	0	0		0	
8936603	1000155	89366	Midas Golden Pilsner		26.70		330.00	80.91	2015-09-01	0	Öl	Ljus lager	Modern stil	Flaska			Sverige	Imperiebryggeriet AB	Imperiebryggeriet AB			4.90%	BS	Ordervaror	0	0		0	
8780501	1000369	87805	Josés	Tequila Blanco	359.00		700.00	512.86	2015-09-01	0	Tequila och Mezcal	Tequila		Flaska			Mexiko	Tierra de Agaves	Fine Brands Sweden AB			40.00%	BS	Ordervaror	0	0		0	
8797501	1000416	87975	Cognac Leyrat	Fine VS	599.00		700.00	570.00	2015-09-01	0	Cognac			Flaska		Cognac	Frankrike	Domaine de chez maillard	Fine Brands Sweden AB			40.00%	BS	Ordervaror	0	0		0	
8983803	1000432	89838	Schlappeseppel Specialität		29.90		330.00	90.61	2015-09-01	0	Öl	Mellanmörk lager	Märzen och wienerstil	Flaska	Bygelkork		Tyskland	Schlappeseppel GmbH	Dryckesboden Sverige AB			5.60%	BS	Ordervaror	0	0		0	
8996703	1000435	89967	Schlappeseppel	Dunkel	22.80		330.00	69.09	2015-09-01	0	Öl	Mörk lager	Dunkel	Flaska	Kapsyl		Tyskland	Schlappeseppel GmbH	Dryckesboden Sverige AB			5.20%	BS	Ordervaror	0	0		0	
8998601	1000438	89986	Schlappeseppel	Hefe Weissbier	28.70		500.00	57.40	2015-09-01	0	Öl	Veteöl	Hefeweizen	Flaska	Kapsyl		Tyskland	Schlappeseppel GmbH	Dryckesboden Sverige AB			5.50%	BS	Ordervaror	0	0		0	
8993603	1000441	89936	Schlappeseppel	Pils	25.80		330.00	69.09	2015-09-01	0	Öl	Ljus lager	Pilsner - tysk stil	Flaska	Kapsyl		Tyskland	Schlappeseppel GmbH	Dryckesboden Sverige AB			5.10%	BS	Ordervaror	0	0		0	
8962103	1000444	89621	Schlappeseppel	Kellerbier	22.80		330.00	69.09	2015-09-01	0	Öl	Ljus lager	Zwickel / keller- och landbier	Flaska	Kapsyl		Tyskland	Schlappeseppel GmbH	Dryckesboden Sverige AB			5.50%	BS	Ordervaror	0	0		0	
8973001	1000454	89730	Valmiermuiza	Alus	31.10		500.00	64.20	2015-09-01	0	Öl	Mellanmörk lager	Märzen och wienerstil	Flaska			Lettland	Valmiermuiza	CCS AB			5.20%	BS	Ordervaror	0	0		0	
7154001	1000923	71540	Château de Cazeneuve	Le Roc des Mates	269.00		750.00	358.67	2015-10-01	0	Rött vin			Flaska		Languedoc-Roussillon	Frankrike	Château de Cazeneuve	Sybaris - Wine & Spirits AB	2011		14.50%	BS	Ordervaror	1	0		0	
3065003	1001500	30650	Halmstad Brygghus	Vallgatan Pale Ale	22.90		330.00	69.39	2015-10-01	0	Öl	Ale brittisk-amerikansk stil	Amerikansk pale ale (APA)	Flaska		Hallands län	Sverige	Halmstad Brygghus	Halmstad Brygghus AB			5.50%	TSLS	Lokalt & Småskaligt	0	0		0	Kornmalt och humle.
7280801	1001536	72808	Würzburger Pfaffenberg	Silvaner Trocken	224.00		750.00	298.67	2015-10-01	0	Vitt vin			Flaska		Franken	Tyskland	WG Bürgerspital	Sybaris - Wine & Spirits AB	2014		12.50%	BS	Ordervaror	0	0		0	
7141301	1001549	71413	Würzburger	Silvaner Trocken	184.00		750.00	245.33	2015-10-01	0	Vitt vin			Flaska		Franken	Tyskland	WG Bürgerspital	Sybaris - Wine & Spirits AB	2014		11.50%	BS	Ordervaror	0	0		0	
3065503	1001670	30655	Fjäderholmarnas Monkey Business	American Pale Ale	25.90		330.00	78.49	2015-10-01	0	Öl	Ale brittisk-amerikansk stil	Amerikansk pale ale (APA)	Flaska		Stockholms län	Sverige	Fjäderholmarnas Bryggeri	Fjäderholmarnas Bryggeri AB			5.20%	TSLS	Lokalt & Småskaligt	0	0		0	Kornmalt och humle.
836809	1001902	8368	Gran Barquero Pack		199.00		1125.00	176.89	2015-12-01	0	Aperitif och dessert	Sherry & Montilla	Montilla	3 flaskor à 375 ml	Skruvkapsyl	Andalusien	Spanien	Pérez Barquero	We & Wine AB			17.70%	BS	Ordervaror	0	0		0	Pedro ximenez.
